代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
EVLVW,0.0042,0.0029,223.08%,0.0013,17226239,2026-07-17
RDACR,0.15,0.0699,87.27%,0.0801,21692,2026-07-17
TGHL,1.52,0.7055,86.62%,0.8145,136451451,2026-07-17
CCGWW,0.0253,0.0113,80.71%,0.014,23289,2026-07-17
APLMW,0.0195,0.0079,68.10%,0.0116,62980,2026-07-17
STAK,3.58,1.45,68.08%,2.13,56806472,2026-07-17
ATPC,4.2,1.68,66.67%,2.52,39561052,2026-07-17
REVBW,0.01,0.0038,61.29%,0.0062,2762,2026-07-17
DSYWW,0.023,0.0086,59.72%,0.0144,26635,2026-07-17
DXST,2.99,0.91,43.75%,2.08,23944933,2026-07-17
ARCLR,0.24,0.072,42.86%,0.168,54,2026-07-17
LIMNW,0.07,0.02,40.00%,0.05,5684,2026-07-17
AIMDW,0.1479,0.0419,39.53%,0.106,7151,2026-07-17
IQST,1.22,0.3388,38.45%,0.8812,136861387,2026-07-17
HUBCZ,0.0156,0.0043,38.05%,0.0113,3336,2026-07-17
VEEE,36.18,9.59,36.07%,26.59,9896237,2026-07-17
CDNA,40.34,10.59,35.60%,29.75,4473915,2026-07-17
ASPSZ,0.2965,0.0772,35.20%,0.2193,157730,2026-07-17
ASTN,8.47,2.14,33.81%,6.33,4718566,2026-07-17
ATAI,7.15,1.79,33.40%,5.36,165561594,2026-07-17
NVVE,8.38,-13.18,-61.13%,21.56,1520879,2026-07-17
SOBR,1.0,-1.07,-51.69%,2.07,11808222,2026-07-17
WGSWW,0.0006,-0.0006,-50.00%,0.0012,53965,2026-07-17
KWMWW,0.0081,-0.0079,-49.38%,0.016,77969,2026-07-17
PLAG,0.9666,-0.8684,-47.32%,1.835,531975,2026-07-17
ASTLW,0.0174,-0.0125,-41.81%,0.0299,27176,2026-07-17
ASUP,6.43,-3.92,-37.87%,10.35,84333,2026-07-17
ASTT,15.01,-8.848,-37.09%,23.858,1380,2026-07-17
ALP,0.2039,-0.1151,-36.08%,0.319,11047603,2026-07-17
DRMAW,0.008,-0.0044,-35.48%,0.0124,44825,2026-07-17
STFS,10.1,-5.41,-34.88%,15.51,47178,2026-07-17
SATLW,0.411,-0.2162,-34.47%,0.6272,21337,2026-07-17
ASTG,7.42,-3.89,-34.39%,11.31,59904,2026-07-17
ASTX,9.82,-5.1,-34.18%,14.92,14733267,2026-07-17
ASTY,5.4,-2.74,-33.66%,8.14,1066416,2026-07-17
FGIWW,0.016,-0.0081,-33.61%,0.0241,61249,2026-07-17
CNEY,0.6688,-0.3312,-33.12%,1.0,2794946,2026-07-17
JOBY+,0.0813,-0.0388,-32.31%,0.1201,258180,2026-07-17
VCIG,1.08,-0.51,-32.08%,1.59,579768,2026-07-17
JAGX,1.335,-0.615,-31.54%,1.95,169995,2026-07-17
LIMN,0.1477,0.0332,29.00%,0.1145,569355677,2026-07-17
BITO,8.715,-0.085,-0.97%,8.8,552969819,2026-07-17
SNDQ,3.905,0.775,24.76%,3.13,227018993,2026-07-17
AAL,15.6,-0.03,-0.19%,15.63,190811548,2026-07-17
NU,13.804,-0.076,-0.55%,13.88,181055840,2026-07-17
EOSER,0.0283,-0.0009,-3.08%,0.0292,156508784,2026-07-17
OPEN,4.57,-0.18,-3.79%,4.75,143769052,2026-07-17
NOK,10.37,-0.88,-7.82%,11.25,142224228,2026-07-17
NVDA,207.4,-5.1,-2.40%,212.5,120724916,2026-07-17
SNXX,14.41,-4.89,-25.34%,19.3,114946847,2026-07-17
ONDS,6.65,-0.4,-5.67%,7.05,108296190,2026-07-17
INTC,96.98,-6.01,-5.84%,102.99,105848527,2026-07-17
DRAM,52.395,-5.005,-8.72%,57.4,96897204,2026-07-17
PATH,12.05,0.1,0.84%,11.95,96067703,2026-07-17
NVD,4.75,0.2,4.40%,4.55,84194827,2026-07-17
T,22.0,0.57,2.66%,21.43,83968445,2026-07-17
MSTU,1.84,-0.14,-7.07%,1.98,77796391,2026-07-17
