排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,CPHI,8.62,7.71,847.25%,83392154
漲幅排行,2,OMH,0.8061,0.5563,222.70%,292420383
漲幅排行,3,SLGB,0.9799,0.4708,92.48%,179521276
漲幅排行,4,UTZ,14.09,6.64,89.13%,61795542
漲幅排行,5,DMAAR,0.1699,0.0794,87.73%,671086
漲幅排行,6,WLDSW,14.95,6.8,83.44%,1
漲幅排行,7,JZXN,1.93,0.78,67.83%,32836420
漲幅排行,8,BFRIW,0.0351,0.0131,59.55%,1983
漲幅排行,9,GTERW,0.0949,0.0343,56.60%,54
漲幅排行,10,AEHG,12.275,4.365,55.18%,791830
漲幅排行,11,KWMWW,0.0124,0.0044,55.00%,1215
漲幅排行,12,DFNS,6.57,2.31,54.23%,20296835
漲幅排行,13,SWVLW,0.0096,0.0033,52.38%,5599
漲幅排行,14,NIPG,7.15,2.41,50.84%,154856
漲幅排行,15,VIVK,2.58,0.85,49.13%,138536728
漲幅排行,16,NXGLW,0.0308,0.0097,45.97%,106
漲幅排行,17,SWAGW,0.0218,0.0067,44.37%,1000
漲幅排行,18,IVDAW,0.0327,0.0097,42.17%,24548
漲幅排行,19,NEBX,31.68,8.76,38.22%,3051094
漲幅排行,20,KTTAW,0.0098,0.0027,38.03%,2508
跌幅排行,1,WGSWW,0.0002,-0.001,-83.33%,1665188
跌幅排行,2,LBGJ,0.0599,-0.1624,-73.05%,151726273
跌幅排行,3,CIGL,0.559,-1.431,-71.91%,242966
跌幅排行,4,ZYBT,2.85,-5.16,-64.42%,37259870
跌幅排行,5,NEXRW,0.0142,-0.0147,-50.87%,1300
跌幅排行,6,GIPRW,0.0231,-0.0187,-44.74%,400
跌幅排行,7,SABSW,0.0112,-0.0085,-43.15%,77884
跌幅排行,8,SMXWW,0.0149,-0.0097,-39.43%,17240
跌幅排行,9,NBIZ,22.75,-13.76,-37.69%,2390654
跌幅排行,10,RNWWW,0.0017,-0.001,-37.04%,212459
跌幅排行,11,SES+,0.0126,-0.0074,-37.00%,18837
跌幅排行,12,NRSNW,0.0811,-0.0476,-36.99%,406
跌幅排行,13,LSTA,2.24,-1.285,-36.45%,557721
跌幅排行,14,CBRZ,14.9,-8.52,-36.38%,397578
跌幅排行,15,VSEEW,0.0206,-0.0113,-35.42%,10700
跌幅排行,16,MWC,1.11,-0.58,-34.32%,3421628
跌幅排行,17,MTEKW,0.1381,-0.0719,-34.24%,1200
跌幅排行,18,RSVRW,0.021,-0.01,-32.26%,20460
跌幅排行,19,SORNW,0.25,-0.1166,-31.81%,1592
跌幅排行,20,HQWWW,6.0,-2.7,-31.03%,98431
成交量排行,1,BITO,9.005,0.185,2.10%,442926125
成交量排行,2,JUNS,0.1697,0.0047,2.85%,346007800
成交量排行,3,OMH,0.8061,0.5563,222.70%,292420383
成交量排行,4,ONDS,7.66,0.79,11.50%,282558872
成交量排行,5,KIDZ,0.56,0.1479,35.89%,271860497
成交量排行,6,SLGB,0.9799,0.4708,92.48%,179521276
成交量排行,7,PATH,12.035,-0.125,-1.03%,176761527
成交量排行,8,LBGJ,0.0599,-0.1624,-73.05%,151726273
成交量排行,9,NU,14.375,0.385,2.75%,145851972
成交量排行,10,T,22.275,0.325,1.48%,139133723
成交量排行,11,VIVK,2.58,0.85,49.13%,138536728
成交量排行,12,MSTU,2.145,0.165,8.33%,129633336
成交量排行,13,NVDA,207.29,4.01,1.97%,106469023
成交量排行,14,INTC,105.45,8.39,8.64%,102096662
成交量排行,15,MARA,12.25,0.58,4.97%,97798398
成交量排行,16,NOK,10.65,0.57,5.65%,97114720
成交量排行,17,AAL,15.28,0.14,0.92%,90771061
成交量排行,18,AMC,2.22,-0.24,-9.76%,85696542
成交量排行,19,SOFI,17.64,0.63,3.70%,84696032
成交量排行,20,CPHI,8.62,7.71,847.25%,83392154
